experiment_id,model,input_mode,is_baseline,split,sample_id,speaker_id,noise_id,noise_category,target_snr_db,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,pesq_error,output_rms,clipping_count,nonfinite_count
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,5.0,0.0,5.02,0.8239,1.0301,,0.1042,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,9.69,4.69,9.19,0.8628,1.0343,,0.086,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,7.38,2.38,9.41,0.841,1.0451,,0.0602,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,6.61,1.61,11.24,0.8722,1.0787,,0.0525,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,10.8,5.8,10.76,0.8598,1.0727,,0.0803,1,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__vehicle_acceleration_track__+5dB,SPK_009,vehicle_acceleration_track,NON_STATIONARY,5.0,5.0,12.08,7.08,13.08,0.9023,1.1847,,0.0773,1,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,-5.0,0.0,-5.0,0.7723,1.0245,,0.1849,11,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,5.28,10.28,4.72,0.8059,1.029,,0.0975,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,7.25,12.25,8.11,0.8194,1.0391,,0.0632,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tactical_siren_sweep__-5dB,SPK_009,tactical_siren_sweep,NON_STATIONARY,-5.0,-5.0,6.71,11.71,9.08,0.8303,1.0412,,0.0564,0,0
