clip,noise_type,target_snr_db,variant,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,stoi_source,pesq_source
SPK_010_clean,hum,20,NLMS_ONLY,25.78,5.78,25.8,0.925,3.03,STOI,PESQ
SPK_010_clean,hum,20,FULL,-1.16,-21.16,-31.12,0.859,2.41,STOI,PESQ
SPK_010_clean,pink,-5,NOISY,-3.64,0.0,-5.02,0.504,1.02,STOI,PESQ
SPK_010_clean,pink,-5,NLMS_ONLY,-0.61,3.03,-1.96,0.497,1.02,STOI,PESQ
SPK_010_clean,pink,-5,FULL,-1.87,1.77,-35.57,0.482,1.02,STOI,PESQ
SPK_010_clean,pink,0,NOISY,0.0,0.0,-0.03,0.616,1.02,STOI,PESQ
SPK_010_clean,pink,0,NLMS_ONLY,3.04,3.04,2.96,0.61,1.02,STOI,PESQ
SPK_010_clean,pink,0,FULL,-1.59,-1.59,-33.06,0.57,1.02,STOI,PESQ
SPK_010_clean,pink,5,NOISY,5.0,0.0,5.49,0.669,1.04,STOI,PESQ
SPK_010_clean,pink,5,NLMS_ONLY,8.79,3.79,8.82,0.669,1.05,STOI,PESQ
SPK_010_clean,pink,5,FULL,-1.23,-6.23,-28.6,0.634,1.06,STOI,PESQ
SPK_010_clean,pink,10,NOISY,10.0,-0.0,10.41,0.739,1.13,STOI,PESQ
SPK_010_clean,pink,10,NLMS_ONLY,13.29,3.29,13.32,0.741,1.14,STOI,PESQ
SPK_010_clean,pink,10,FULL,-1.17,-11.17,-29.31,0.702,1.17,STOI,PESQ
SPK_010_clean,pink,15,NOISY,15.0,-0.0,15.11,0.804,1.34,STOI,PESQ
SPK_010_clean,pink,15,NLMS_ONLY,18.29,3.29,18.33,0.81,1.36,STOI,PESQ
SPK_010_clean,pink,15,FULL,-1.14,-16.14,-29.09,0.752,1.37,STOI,PESQ
SPK_010_clean,pink,20,NOISY,20.0,0.0,20.35,0.86,1.71,STOI,PESQ
SPK_010_clean,pink,20,NLMS_ONLY,23.48,3.48,23.48,0.862,1.72,STOI,PESQ
