sample_id,split,speaker_id,noise_category,noise_source,provenance,system_config,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,processing_time_ms,rtf,cpu_percent,ram_mb
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,5.0,0.26,-4.74,-7.75,0.728,1.18,48.22,0.0161,15.0,284.7
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,5.0,4.13,-0.87,3.92,0.887,1.54,3538.92,1.1796,15.0,283.7
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,5.0,12.0,7.0,11.99,0.918,1.61,5529.72,1.8432,15.0,283.4
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,5.0,4.84,-0.16,4.85,0.916,1.56,3521.55,1.1738,15.0,284.3
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,5.0,3.87,-1.13,4.03,0.882,1.5,3061.1,1.0204,15.0,284.4
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,gunfire_transient_insas,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,5.0,5.95,0.95,12.25,0.919,1.57,7942.62,2.6475,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,10.0,10.0,0.0,10.09,0.917,2.67,0.07,0.0,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,10.0,1.29,-8.71,-4.48,0.758,1.17,42.56,0.0142,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,10.0,1.33,-8.67,-4.4,0.732,1.33,51.69,0.0172,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,10.0,15.07,5.07,15.07,0.907,2.74,3513.63,1.1712,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,10.0,15.92,5.92,15.93,0.914,2.66,5481.4,1.8271,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,10.0,5.76,-4.24,9.88,0.917,2.53,3612.83,1.2043,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,10.0,6.17,-3.83,18.17,0.927,2.68,3385.91,1.1286,15.0,284.4
SPK_001__artillery_blast_dhanush__+10dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,10.0,6.13,-3.87,16.1,0.914,2.52,7878.27,2.6261,15.0,284.4
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,5.0,5.0,0.0,5.08,0.872,1.03,0.1,0.0,15.0,284.4
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,5.0,1.69,-3.31,-0.12,0.744,1.06,35.42,0.0118,15.0,284.4
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,5.0,1.73,-3.27,-1.27,0.737,1.06,37.45,0.0125,15.0,284.3
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,5.0,8.26,3.26,7.68,0.883,1.13,3685.88,1.2286,15.0,283.2
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,5.0,9.29,4.29,9.36,0.893,1.04,5614.97,1.8717,15.0,282.7
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,5.0,5.04,0.04,5.23,0.874,1.03,3765.07,1.255,15.0,284.8
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,5.0,4.91,-0.09,7.77,0.884,1.15,3055.59,1.0185,15.0,283.1
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,5.0,5.8,0.8,9.66,0.894,1.04,7052.14,2.3507,15.0,282.9
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,10.0,10.0,0.0,10.05,0.911,1.06,0.09,0.0,15.0,285.0
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,10.0,1.77,-8.23,0.02,0.776,1.11,32.92,0.011,15.0,284.5
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,10.0,1.82,-8.18,-1.12,0.773,1.1,38.18,0.0127,15.0,283.4
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,10.0,8.4,-1.6,7.82,0.876,1.16,3992.79,1.3309,15.0,283.4
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,10.0,14.77,4.77,14.8,0.939,1.09,5367.83,1.7893,15.0,284.0
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,10.0,5.85,-4.15,10.27,0.912,1.07,3497.8,1.1659,15.0,284.8
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,10.0,4.91,-5.09,7.79,0.877,1.16,3782.95,1.261,15.0,284.6
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,10.0,6.12,-3.88,15.03,0.939,1.1,8111.94,2.704,15.0,284.8
