sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,SPEECH_LEAKAGE,NLMS_ONLY,-3.27,8.16,0.946,1.17,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,AI_ONLY,-8.23,0.46,0.82,1.12,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-6.11,9.56,0.9,1.24,True
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,IMPULSIVE_SPIKE,NLMS_ONLY,-10.42,-2.03,0.855,1.1,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,AI_ONLY,-0.79,4.65,0.916,1.56,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,HYBRID_PROTECTED,-0.14,10.61,0.917,1.57,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,NLMS_ONLY,6.62,11.61,0.917,1.61,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,AI_ONLY,-0.79,4.65,0.916,1.56,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,HYBRID_PROTECTED,-2.36,6.5,0.93,1.6,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,NLMS_ONLY,1.12,6.79,0.929,1.64,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,AI_ONLY,-3.32,-0.57,0.806,1.33,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-0.25,8.88,0.854,1.51,True
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,IMPULSIVE_SPIKE,NLMS_ONLY,-5.46,-0.47,0.805,1.3,True
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,AI_ONLY,-5.21,9.32,0.916,2.51,False
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,HYBRID_PROTECTED,-4.99,14.37,0.913,2.48,False
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,MATCHED_REFERENCE,NLMS_ONLY,5.83,15.84,0.913,2.65,False
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,AI_ONLY,-5.21,9.32,0.916,2.51,True
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,HYBRID_PROTECTED,-7.38,7.67,0.931,2.66,True
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,SPEECH_LEAKAGE,NLMS_ONLY,-3.72,7.9,0.931,2.76,True
