hop_index,total_ms,dsp_ms,ai_ms,regime_ms
750,3.584,0.423,2.274,0.712
751,3.457,0.419,2.154,0.704
752,4.868,0.614,2.808,1.258
753,4.509,0.619,2.643,0.995
754,4.615,0.59,2.713,1.059
755,4.637,0.585,2.752,1.012
756,3.466,0.432,2.115,0.735
757,3.342,0.416,2.064,0.696
758,3.408,0.412,2.113,0.721
759,3.545,0.45,2.235,0.681
760,4.663,0.632,2.742,1.029
761,4.516,0.579,2.655,1.032
762,4.539,0.585,2.679,1.023
763,5.617,0.931,3.445,0.984
764,5.515,0.717,3.201,1.277
765,5.28,0.658,3.005,1.324
766,4.972,0.44,2.291,1.979
767,3.586,0.451,2.189,0.764
768,3.525,0.424,2.18,0.748
769,3.571,0.462,2.239,0.693
770,5.692,0.615,3.029,1.853
771,4.631,0.645,2.686,1.035
772,4.524,0.581,2.646,1.045
773,4.866,0.593,2.997,1.02
774,4.536,0.599,2.63,1.048
775,4.457,0.569,2.628,1.016
776,5.168,0.587,3.266,1.015
777,4.797,0.599,2.804,1.087
778,4.487,0.629,2.62,0.988
779,4.427,0.57,2.603,1.01
780,5.577,0.651,2.816,1.866
781,4.827,0.591,2.846,1.112
782,4.984,0.641,3.045,1.022
783,8.811,1.093,5.727,1.76
784,6.772,0.842,4.099,1.517
785,4.911,0.781,2.548,1.283
786,3.527,0.431,2.161,0.748
787,3.536,0.43,2.169,0.761
788,3.533,0.426,2.167,0.762
789,5.004,0.663,2.729,1.429
790,3.587,0.429,2.226,0.745
791,3.539,0.421,2.202,0.704
792,3.563,0.441,2.195,0.751
793,5.183,0.649,3.617,0.724
794,4.824,0.653,2.828,1.072
795,4.691,0.587,2.766,1.077
796,4.953,0.599,3.02,1.035
797,3.781,0.444,2.318,0.826
798,3.68,0.432,2.283,0.78
799,4.944,0.686,3.344,0.716
800,5.21,0.439,2.384,1.151
801,3.634,0.419,2.327,0.707
802,3.512,0.42,2.19,0.73
803,3.633,0.42,2.29,0.739
804,5.232,0.608,3.224,1.137
805,5.376,0.708,3.099,1.265
